"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
101,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Ogi","9",11000000,"4DK","60",,"","","","1984","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
102,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Ogi","7",49000000,"3LDK","90",,"","","","2006","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
103,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Ogi","7",40000000,"4LDK","80",,"","","","2006","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
104,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Ogi","7",27000000,"2LDK","65",,"","","","2006","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
105,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Ogi","8",32000000,"3LDK","95",,"","","","1991","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
106,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamaminamimachi","Settsumotoyama","6",29000000,"3LDK","65",,"","","","2000","SRC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
107,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Morikitamachi","Konan-yamate","3",47000000,"","150",320000,"Semi-shaped","9.0","","","","","Southeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
108,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Morikitamachi","Konan-yamate","3",55000000,"","140",390000,"Semi-shaped","10.0","","","","","Southeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
109,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Morikitamachi","Konan-yamate","3",24000000,"3LDK","70",,"","","","1992","SRC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
110,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Moriminamimachi","Konan-yamate","5",47000000,"4LDK","85",,"","","","2006","RC","House","","",,"Near Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
111,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Aotanicho","Ojikoen","13",21000000,"","60",,"Irregular Shaped","6.0","60","2000","W","House","Northeast","Private Road",4.1,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014","Dealings including private road"
112,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Akasakadoori","Ojikoen","11",80000000,"","350",,"Irregular Shaped","14.5","290","1979","RC","Housing Complex","North","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
113,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Iwayanakamachi","Nishinada","6",17000000,"3LDK","60",,"","","","1985","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
114,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Uenodoori","Ojikoen","11",40000000,"","60",,"Semi-trapezoidal Shaped","5.8","95","2014","W","House","Southeast","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
115,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Uenodoori","Ojikoen","14",27000000,"2LDK","65",,"","","","2004","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
116,"Residential Land(Land Only)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Oishikitamachi","Oishi","3",26000000,"","165",160000,"Semi-trapezoidal Shaped","12.5","","","","","West","Private Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings including private road"
117,"Residential Land(Land Only)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Oishikitamachi","Oishi","3",4000000,"","30",130000,"Semi-trapezoidal Shaped","5.1","","","","","West","Private Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings including private road"
118,"Pre-owned Condominiums, etc.","","28102","Hyogo Prefecture","Nada Ward,Kobe City","Oishihigashimachi","Oishi","2",21000000,"2LDK+S","65",,"","","","2008","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
119,"Residential Land(Land Only)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Oishiminamimachi","Oishi","6",19000000,"","100",190000,"Rectangular Shaped","9.0","","","","","East","City Road",3.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
120,"Residential Land(Land and Building)","Residential Area","28102","Hyogo Prefecture","Nada Ward,Kobe City","Ouchidori","Ojikoen","13",5000000,"","85",,"Irregular Shaped","","35","1997","W","House","North","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
