"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
83,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatosozemmachi","Tsuchizaki","23",4700000,"","210",22000,"Irregular Shaped","3.0","","","","","South","City Road",6.7,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
84,"Residential Land(Land and Building)","Commercial Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatochuo","Tsuchizaki","11",3000000,"","115",,"Rectangular Shaped","10.5","175","1973","S","Warehouse, Shop","East","City Road",4.0,"Commercial District",80,400,"2nd quarter 2014",""
85,"Residential Land(Land Only)","Commercial Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatonishi","Tsuchizaki","13",5100000,"","155",32000,"Trapezoidal Shaped","15.4","","","","","North","Prefectural Road",14.5,"Near Commercial District",80,200,"2nd quarter 2014",""
86,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatonishi","Tsuchizaki","8",13000000,"","530",24000,"Rectangular Shaped","19.0","","","","","West","City Road",8.0,"Near Commercial District",80,200,"2nd quarter 2014",""
87,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatominami","Tsuchizaki","23",4000000,"","380",,"Semi-rectangular Shaped","16.0","110","1973","W","House","North","Road",3.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
88,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Tegata","Akita","11",19000000,"","340",56000,"Rectangular Shaped","","","","","","South","City Road",6.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
89,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tegata","Akita","13",42000000,"","170",,"Rectangular Shaped","10.4","115","2014","LS","House","West","City Road",6.0,"Near Commercial District",80,200,"2nd quarter 2014",""
90,"Residential Land(Land and Building)","Commercial Area","05201","Akita Prefecture","Akita City","Tegata","Akita","9",90000000,"","990",,"Rectangular Shaped","19.0","730","1983","RC","Housing Complex","West","City Road",25.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
91,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tegatatanaka","Akita","26",4500000,"","300",,"Irregular Shaped","2.5","170","1989","","","South","Private Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
92,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Tegatatanaka","Akita","30-60minutes",2400000,"","100",25000,"Semi-rectangular Shaped","","","","","","West","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
93,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tegatayamakitamachi","Akita","30-60minutes",2800000,"","390",,"Semi-rectangular Shaped","20.0","180","2000","W","House","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
94,"Residential Land(Land and Building)","Industrial Area","05201","Akita Prefecture","Akita City","Terauchi","Akita","30-60minutes",87000000,"","1900",,"Rectangular Shaped","37.0","2,000 m^2 or greater.","","S, W","House, Office, Warehouse","South","City Road",7.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
95,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Terauchidonosawa","Akita","1H-1H30",4100000,"","130",31000,"Rectangular Shaped","10.0","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
96,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Terauchihirune","Akita","1H-1H30",13000000,"","210",,"Rectangular Shaped","17.0","95","1980","LS","House","Southwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
97,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","Araya (Akita)","30-60minutes",5600000,"","380",,"Semi-trapezoidal Shaped","28.1","140","1980","W","Office, Warehouse","East","Prefectural Road",16.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
98,"Agricultural Land","","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","","",820000,"","1600",,"","","","","","","","",,"",,,"2nd quarter 2014","Dealings in which auction or arbiter participates"
99,"Agricultural Land","","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","","",2500000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014","Dealings in which auction or arbiter participates"
100,"Agricultural Land","","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","","",2900000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014","Dealings in which auction or arbiter participates"
101,"Agricultural Land","","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","","",4200000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014","Dealings in which auction or arbiter participates"
102,"Agricultural Land","","05201","Akita Prefecture","Akita City","Toyoiwatoyomaki","","",670000,"","1300",,"","","","","","","","",,"",,,"2nd quarter 2014","Dealings in which auction or arbiter participates"
103,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Nakadoori","Akita","14",2800000,"2DK","45",,"","","","1974","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
104,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Narayamaishizukacho","Akita","30-60minutes",9600000,"","190",,"Rectangular Shaped","11.0","75","1994","W","House","Northeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
105,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Narayamakyowamachi","Akita","30-60minutes",6000000,"","200",29000,"Irregular Shaped","30.0","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
106,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Narayamajonanshimmachi","Akita","30-60minutes",8900000,"","180",,"Semi-rectangular Shaped","12.0","115","1993","W","House","Southwest","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
107,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Narayamajonanshimmachi","Akita","30-60minutes",18000000,"","380",,"Rectangular Shaped","16.0","165","1982","W","Housing Complex","Northwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014","Dealings including private road"
108,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Narayamanoborimachi","Akita","30-60minutes",10000000,"","380",27000,"Rectangular Shaped","11.0","","","","","Northeast","City Road",4.0,"Near Commercial District",80,200,"2nd quarter 2014",""
