"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
70,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Nakagosho","Nagano (JR)","28",16000000,"4DK","80",,"","","","1993","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
71,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Nakagosho","Nagano (JR)","5",31000000,"3LDK","75",,"","","","2008","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
72,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Naganoyokosawacho","Zenkojishita","11",3300000,"","110",,"Rectangular Shaped","","65","1965","W","House","No facing road","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
73,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Hakoshimizu","Zenkojishita","18",10000000,"","170",,"Semi-trapezoidal Shaped","11.5","120","","W","House","North","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
74,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Higashisainami","Shinonoi","30-60minutes",3600000,"","75",47000,"Rectangular Shaped","4.5","","","","","South","City Road",6.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
75,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Higashiwada","Kitanagano","24",10000000,"","220",,"Semi-rectangular Shaped","11.0","190","1989","W","House","North","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
76,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Matsushiromachi","Nagano (JR)","1H30-2H",26000000,"","1500",17000,"Irregular Shaped","24.0","","","","","Southeast","City Road",18.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
77,"Agricultural Land","","20201","Nagano Prefecture","Nagano City","Matsushiromachi","","",39000,"","320",,"","","","","","","","",,"",,,"2nd quarter 2014",""
78,"Agricultural Land","","20201","Nagano Prefecture","Nagano City","Matsushiromachi","","",370000,"","1500",,"","","","","","","","",,"",,,"2nd quarter 2014",""
79,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Mamejima","Nagano (JR)","30-60minutes",33000000,"","135",,"Irregular Shaped","23.0","115","1977","S","House","Northeast","Prefectural Road",6.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
80,"Residential Land(Land Only)","Potential Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Mamejima","Nagano (JR)","1H-1H30",16000000,"","1800",8900,"Irregular Shaped","10.0","","","","","Southwest","City Road",7.5,"Urbanization Control Area",60,200,"2nd quarter 2014",""
81,"Agricultural Land","","20201","Nagano Prefecture","Nagano City","Oaza Mamejima","","",410000,"","135",,"","","","","","","","",,"",,,"2nd quarter 2014",""
82,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Minamibori","Asahi","10",31000000,"","250",,"Irregular Shaped","","","2014","","House","West","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
83,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Miwa","Gondo","8",23000000,"","280",82000,"Semi-rectangular Shaped","16.5","","","","","East","City Road",3.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
84,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Oaza Miwa","Gondo","2",29000000,"3LDK","80",,"","","","2009","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
85,"Residential Land(Land Only)","Commercial Area","20201","Nagano Prefecture","Nagano City","Miwa","Zenkojishita","1",17000000,"","150",110000,"Semi-shaped","11.0","","","","","West","City Road",25.0,"Commercial District",80,400,"2nd quarter 2014",""
86,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Miwa","Hongo (Nagano)","10",11000000,"","200",55000,"&quot;Flag-shaped&quot; etc.","","","","","","West","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
87,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Miwa","Hongo (Nagano)","7",12000000,"","175",71000,"Semi-shaped","8.0","","","","","North","Prefectural Road",5.8,"Near Commercial District",80,200,"2nd quarter 2014",""
88,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Miwa","Hongo (Nagano)","20",29000000,"","640",,"Semi-rectangular Shaped","24.5","120","1976","W","House","North","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
89,"Residential Land(Land Only)","Commercial Area","20201","Nagano Prefecture","Nagano City","Oaza Yashima","Fuzokuchugakumae","30-60minutes",19000000,"","220",86000,"Irregular Shaped","25.0","","","","","South","Prefectural Road",26.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
90,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Yanagihara","Fuzokuchugakumae","14",11000000,"","360",30000,"Irregular Shaped","4.0","","","","","South","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
91,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Yoshida","Asahi","18",8000000,"","140",,"Semi-shaped","9.0","85","1989","W","House","Northeast","City Road",5.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
92,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Yoshida","Kitanagano","20",15000000,"","260",,"Semi-square Shaped","17.0","195","1960","W","House","West","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
93,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Yoshida","Kitanagano","9",28000000,"","350",80000,"Semi-rectangular Shaped","23.5","","","","","East","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
94,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Yoshida","Kirihara (Nagano)","14",26000000,"","160",,"Semi-rectangular Shaped","9.0","100","2013","W","House","North","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
95,"Residential Land(Land and Building)","Industrial Area","20201","Nagano Prefecture","Nagano City","Wakasato","Nagano (JR)","29",17000000,"","115",,"Irregular Shaped","15.0","230","","S","House","West","City Road",9.0,"Industrial District",60,200,"2nd quarter 2014",""
96,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Wakahohoshina","Nagano (JR)","2H-",5800000,"","410",,"Irregular Shaped","11.0","95","","W","House","Northwest","City Road",3.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
97,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Wakahowatauchi","Nagano (JR)","2H-",10000000,"","230",45000,"Semi-trapezoidal Shaped","12.0","","","","","Southeast","Prefectural Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
98,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Wakahowatauchi","Nagano (JR)","2H-",4000000,"","290",14000,"&quot;Flag-shaped&quot; etc.","","","","","","South","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
99,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Wakahowatauchi","Nagano (JR)","1H30-2H",5400000,"","270",20000,"Semi-shaped","14.0","","","","","East","City Road",2.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
