"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
76,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tomita","Omoto","13",22000000,"","350",,"Semi-rectangular Shaped","19.0","300","1968","S","Warehouse","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
77,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nakasange","Okayama","20",13000000,"","75",,"Rectangular Shaped","6.0","110","1983","S","House","West","City Road",11.0,"Commercial District",80,500,"2nd quarter 2014",""
78,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Nakasange","Okayama","11",46000000,"3LDK","100",,"","","","2006","RC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
79,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Nakasange","Okayama","18",2600000,"1K","20",,"","","","1990","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
80,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Nakanatsukawa","Niwase","16",16000000,"","200",,"Irregular Shaped","","95","1986","","House","West","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
81,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Natsukawa","Niwase","26",7200000,"","210",34000,"Rectangular Shaped","16.0","","","","","East","City Road",3.1,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
82,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Natsukawa","Niwase","30-60minutes",24000000,"","170",,"Square Shaped","13.0","","","","","East","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
83,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Natsukawa","Niwase","21",22000000,"","160",,"Rectangular Shaped","5.5","115","1974","W","House","North","City Road",3.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
84,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Narazu","Bizen-ichinomiya","19",41000000,"","210",,"Irregular Shaped","4.0","100","1987","W","House","Southeast","Private Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
85,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Narazu","Bizen-ichinomiya","19",30000000,"","150",,"Rectangular Shaped","16.5","80","1980","W","House","Northeast","Private Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
