"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
47,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Tsurumainishimachi","Gakuenmae (Nara)","11",16000000,"3LDK","85",,"","","","1990","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
48,"Residential Land(Land and Building)","Commercial Area","29201","Nara Prefecture","Nara City","Tezukayamaminami","Tomio","25",9100000,"","125",,"Semi-rectangular Shaped","7.5","125","1978","S","House, Shop","Southeast","City Road",37.0,"Near Commercial District",80,200,"2nd quarter 2014",""
49,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Tezukayamaminami","Tomio","18",14000000,"","190",75000,"Irregular Shaped","7.7","","","","","Northwest","Village Road",4.5,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
50,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Tokujocho","Kyobate","28",27000000,"","860",31000,"Semi-rectangular Shaped","20.0","","","","","South","Prefectural Road",9.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
51,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Tomioizumigaoka","Tomio","30-60minutes",10000000,"","230",,"Trapezoidal Shaped","13.0","100","1974","LS","House","West","City Road",6.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
52,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Tomiokita","Tomio","2",22000000,"","160",140000,"Semi-trapezoidal Shaped","14.0","","","","","North","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
53,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Tomiokita","Tomio","11",15000000,"3LDK","70",,"","","","1999","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
54,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Tomiomotomachi","Tomio","7",20000000,"","160",,"&quot;Flag-shaped&quot; etc.","","115","1991","","Housing Complex","North","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
55,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Tomigaoka","Gakkennaratomigaoka","19",40000000,"","450",,"Square Shaped","20.7","150","1982","W","House","North","City Road",6.5,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
56,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Nakatomigaoka","Gakkennaratomigaoka","16",18000000,"3LDK","65",,"","","","","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
57,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Nakatomigaoka","Gakkennaratomigaoka","15",18000000,"2LDK","80",,"","","","2000","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
58,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nakamachi","Amagatsuji","30-60minutes",20000000,"","185",,"Semi-rectangular Shaped","10.5","110","2003","W","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
59,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nakamachi","Gakuenmae (Nara)","30-60minutes",7000000,"","145",,"Rectangular Shaped","10.0","90","1984","W","House","Southeast","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
60,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nakamachi","Gakuenmae (Nara)","30-60minutes",18000000,"","170",,"Rectangular Shaped","12.6","100","2003","W","House","Southwest","Town Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
61,"Residential Land(Land Only)","Potential Residential Area","29201","Nara Prefecture","Nara City","Nakayamacho","Heijo","20",31000000,"","690",45000,"Semi-trapezoidal Shaped","21.1","","","","","Southeast","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
62,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Nishikanenagacho","Kintetsunara","12",7900000,"3LDK","65",,"","","","1986","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
63,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nishikitsujicho","Nara","12",4000000,"","60",,"Rectangular Shaped","4.3","320","","W","House","South","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
64,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nishitomigaoka","Gakkenkitaikoma","26",18000000,"","240",,"Rectangular Shaped","16.0","110","1967","LS","House","North","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
65,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nishitomigaoka","Gakkenkitaikoma","25",32000000,"","280",,"Rectangular Shaped","14.7","120","1995","W","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
66,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nishitomigaoka","Gakkenkitaikoma","30-60minutes",27000000,"","290",,"Irregular Shaped","9.5","110","2008","W","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
67,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nishitomigaoka","Gakkenkitaikoma","26",25000000,"","250",,"Semi-rectangular Shaped","14.2","130","1975","LS","House","South","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
68,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Nimyo","Tomio","20",28000000,"","195",,"Irregular Shaped","15.9","100","2014","W","House","East","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014","Dealings including private road"
